group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
Qiskit Aer noisy MNIST-4,shared_observable,3,0.5576388888888889,0.08274385417956905,0.5518012131180451,532.0
Qiskit Aer noisy MNIST-4,no_schema,3,0.3746527777777778,0.15463003991056237,0.3656049396804071,532.0
Qiskit Aer noisy MNIST-4,forced_canonical,3,0.3625,0.08749084295462843,0.35254238429740026,532.0
Qiskit Aer noisy MNIST-4,wrong_schema,3,0.28506944444444443,0.09481338963228685,0.2869996564626495,788.0
Qiskit Aer schema-head,qproto_masked_hop,3,0.5965277777777777,0.06497175870617966,0.584986768063176,660.0
Qiskit Aer schema-head,qproto_chop,3,0.5791666666666667,0.042601425471275225,0.5683563531497299,532.0
Qiskit Aer schema-head,qproto_cproto,3,0.5760416666666667,0.04549029208811656,0.5655396825048843,276.0
Qiskit Aer schema-head,fedproto_schema,3,0.4277777777777778,0.1966824498583859,0.4105044646948574,532.0
Qiskit Aer schema-head,fedadam_schema,3,0.4256944444444445,0.1782489921683504,0.4132081391532628,528.0
Qiskit Aer schema-head,fedavg_schema,3,0.4121527777777778,0.21665955284907246,0.38221443809479605,528.0
Qiskit Aer schema-head,fedprox_schema,3,0.41284722222222225,0.21827630354950914,0.3814960634034819,528.0
