setting,axis,value,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
PennyLane high-order overlap,overlap,0.2,wrong_schema,3,0.27379166666666666,0.014366846092569253,0.27379166666666666,3092.0
PennyLane high-order overlap,overlap,0.35,qproto_masked_hop,3,0.543,0.012526060592778493,0.543,3476.0
PennyLane high-order overlap,overlap,0.35,qproto_chop,3,0.5922083333333333,0.08997226700041766,0.5922083333333333,2324.0
PennyLane high-order overlap,overlap,0.35,qproto_cproto,3,0.4044166666666667,0.0593812809051744,0.40441666666666665,788.0
PennyLane high-order overlap,overlap,0.35,fedadam_schema,3,0.312375,0.017077001837266417,0.312375,1552.0
PennyLane high-order overlap,overlap,0.35,fedproto_schema,3,0.28500000000000003,0.017214801204347673,0.28500000000000003,1556.0
PennyLane high-order overlap,overlap,0.35,shared_observable,3,0.441375,0.04470622518668644,0.44137499999999996,1556.0
PennyLane high-order overlap,overlap,0.35,no_schema,3,0.345875,0.037327129909088874,0.345875,1556.0
PennyLane high-order overlap,overlap,0.35,wrong_schema,3,0.2674583333333333,0.01772087487851743,0.26745833333333335,3092.0
PennyLane high-order overlap,overlap,0.5,qproto_masked_hop,3,0.6157916666666666,0.054791427729501296,0.6157916666666666,3476.0
PennyLane high-order overlap,overlap,0.5,qproto_chop,3,0.6615416666666667,0.07267043145059246,0.6615416666666667,2324.0
PennyLane high-order overlap,overlap,0.5,qproto_cproto,3,0.43295833333333333,0.019045467744066496,0.43295833333333333,788.0
PennyLane high-order overlap,overlap,0.5,fedadam_schema,3,0.31366666666666665,0.039362177762146525,0.31366666666666665,1552.0
PennyLane high-order overlap,overlap,0.5,fedproto_schema,3,0.2906666666666667,0.04127915643551566,0.2906666666666667,1556.0
PennyLane high-order overlap,overlap,0.5,shared_observable,3,0.4745,0.17082676286971787,0.47450000000000003,1556.0
PennyLane high-order overlap,overlap,0.5,no_schema,3,0.34962499999999996,0.04537425426045815,0.349625,1556.0
PennyLane high-order overlap,overlap,0.5,wrong_schema,3,0.2836666666666667,0.044228387005944184,0.2836666666666667,3092.0
PennyLane high-order overlap,overlap,0.8,qproto_masked_hop,3,0.662,0.11978682751643899,0.662,3476.0
PennyLane high-order overlap,overlap,0.8,qproto_chop,3,0.69125,0.055869999110285624,0.69125,2324.0
PennyLane high-order overlap,overlap,0.8,qproto_cproto,3,0.43966666666666665,0.10165236681245868,0.4396666666666667,788.0
PennyLane high-order overlap,overlap,0.8,fedadam_schema,3,0.429,0.04293689171409261,0.429,1552.0
PennyLane high-order overlap,overlap,0.8,fedproto_schema,3,0.393625,0.007459481450155161,0.393625,1556.0
PennyLane high-order overlap,overlap,0.8,shared_observable,3,0.5966666666666666,0.04779661617083325,0.5966666666666666,1556.0
PennyLane high-order overlap,overlap,0.8,no_schema,3,0.358875,0.08581480552459439,0.358875,1556.0
PennyLane high-order overlap,overlap,0.8,wrong_schema,3,0.28375,0.04820612477689126,0.28375,3092.0

