bytes_per_client_round,class_gap_proxy,config_anchor_normalize,config_anchor_size,config_bandwidth,config_class_sep,config_classical_bandwidth,config_classical_sketch_dim,config_common_policy,config_cov_boost,config_data_structure,config_dataset,config_dataset_path,config_depol_p,config_depol_std,config_dirichlet_alpha,config_hop_dim,config_hop_weight,config_n_classes,config_n_test,config_n_train,config_obs_per_client,config_observable_overlap,config_observables,config_participation,config_readout_p,config_readout_std,config_seed,config_shot_noise_scale,config_shots,config_sketch_dim,config_wrong_shift,distortion_proxy,elapsed_sec,final_acc,final_balanced_acc,method,run
1044,0.4857276418790261,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,3.5125417709350586,0.5844583333333333,0.589773421221075,qproto_proto,anchor0_seed2
1428,0.4857276418790261,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,3.32247257232666,0.5858333333333332,0.5911591946755616,qproto_hop,anchor0_seed2
1432,0.48737895929209496,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,3.3507802486419678,0.58775,0.5926441910565694,qproto_full,anchor0_seed2
1044,0.2782747302180415,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.32865739384389925,2.4746084213256836,0.4234583333333334,0.42364538425709564,no_schema,anchor0_seed2
1428,0.42053494079903664,True,0,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.15024966580011717,3.717801332473755,0.2752916666666666,0.27858915339878404,wrong_schema,anchor0_seed2
1044,0.4278109344644732,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,1.9325759410858154,0.43,0.42684640801584317,qproto_proto,anchor128_seed0
1428,0.4278109344644732,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,1.9556210041046143,0.44608333333333333,0.44269778349560684,qproto_hop,anchor128_seed0
1432,0.42435100098943573,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,1.765291690826416,0.44412499999999994,0.44088769579533177,qproto_full,anchor128_seed0
1044,0.33386270019861747,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.3524047902617916,1.0924437046051025,0.40404166666666674,0.4020584768224281,no_schema,anchor128_seed0
1428,0.39185761551910164,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.10827894747451466,1.6622333526611328,0.3869166666666667,0.3865635732063054,wrong_schema,anchor128_seed0
